id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1,100 OG,Hybrid,,Old School Breeder's Association,Focused,Depression,Citrus,,Limonene,127,0,0,16,0,10,0,0,0,0,0,0,0,0
2,707 Headband,Hybrid,378272,Unknown Breeder,,,,,,127,,,0,,0,,,,,,,,
3,A-10,Indica,0,,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Muscle Spasms, Depression","Citrus, Sweet",,,0,,,0,,0,,,,,,,,
4,Acapulco Gold,Sativa,0,,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Earthy, Citrus",,,0,,,0,,0,,,,,,,,
5,Afghani Bullrider,Hybrid,0,Unknown Breeder,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",,,127,,,0,,0,,,,,,,,
6,Afghan Big Bud,Indica,"9,39",,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Pain, Nausea, Insomnia, Depression","Lemon, Lavender",,,0,,,0,,0,,,,,,,,
7,Afghan Diesel,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
8,Afghan Kush,Hybrid,0,White Label Co.,,,,"Yucca Valley, CA",,1300,,,0,,0,,,,,,,,
9,Afghani,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Lack of Appetite, Depression","Earthy, Sweet, Pine",,,0,,,0,,0,,,,,,,,
10,Afghanica,Hybrid,10,Flying Dutchmen Seed Company,,,,,,0,,,0,,0,,,,,,,,
11,Afghooey,Indica,0,,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",,,127,,,0,,0,,,,,,,,
