strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Golden-Goat,hybrid,4.5,Uplifted,Happy,Euphoric,Relaxed,Energetic,Sweet,Citrus,Tropical,
Golden-Lemon,hybrid,4.7,Uplifted,Relaxed,Euphoric,Tingly,Happy,Lemon,Citrus,Sweet,
Golden-Nugget,hybrid,4.8,Uplifted,Creative,Focused,Happy,Aroused,Sweet,Lime,Skunk,
Dynamite,indica,4.4,Relaxed,Euphoric,Happy,Hungry,Sleepy,Citrus,Grapefruit,Earthy,
Golden-Panda,hybrid,4.6,Relaxed,Happy,Euphoric,Uplifted,Hungry,Pungent,Sweet,Citrus,
Early-Girl,indica,3.8,Relaxed,Happy,Hungry,Uplifted,Talkative,Citrus,Earthy,Pine,
Early-Miss,hybrid,3.9,Creative,Euphoric,Relaxed,Aroused,Talkative,Pepper,Ammonia,Spicy/Herbal,
Golden-Pineapple,hybrid,4.5,Happy,Euphoric,Uplifted,Relaxed,Creative,Pineapple,Tropical,Citrus,
Early-Pearl,sativa,3.9,Relaxed,Hungry,Euphoric,Focused,Talkative,Sweet,Earthy,Tea,
Golden-Soda,hybrid,0,None,,,,,None,,,
Early-Skunk,hybrid,4.1,Relaxed,Uplifted,Hungry,Happy,Energetic,Flowery,Skunk,Earthy,
Golden-State-Banana,indica,4.8,Euphoric,Relaxed,Sleepy,Creative,Happy,Citrus,Sweet,Tropical,
Earth-Og,hybrid,4.2,Relaxed,Sleepy,Hungry,Happy,Creative,Earthy,Spicy/Herbal,Pine,
Golden-Tangie,sativa,3.5,Focused,Happy,Aroused,Energetic,Tingly,Citrus,Orange,Earthy,
Earthquake,hybrid,4.5,Creative,Euphoric,Uplifted,Happy,Energetic,Woody,Pine,Earthy,
Golden-Ticket,hybrid,4.5,Happy,Euphoric,Uplifted,Relaxed,Creative,Citrus,Earthy,Lemon,
Earthshaker-Og,hybrid,4.4,Happy,Euphoric,Aroused,Creative,Energetic,Earthy,,,
Golden-Tiger,sativa,5,Talkative,Uplifted,Energetic,Euphoric,Happy,Minty,Lemon,Apricot,
East-Coast-Alien,sativa,4.4,Happy,Euphoric,Hungry,Relaxed,Focused,Diesel,Earthy,Spicy/Herbal,
Goldwing,sativa,4.7,Uplifted,Happy,Euphoric,Creative,Energetic,,,,
East-Coast-Sour-Diesel,sativa,4.3,Happy,Euphoric,Relaxed,Energetic,Uplifted,Diesel,Pungent,Lemon,
Goo,indica,4.3,Relaxed,Sleepy,Hungry,Euphoric,Happy,Berry,Blueberry,Sweet,
Eastern-European,indica,5,Sleepy,Happy,Relaxed,,,Earthy,Woody,Pine,
Gooberry,indica,4.3,Sleepy,Aroused,Hungry,Relaxed,Happy,Blueberry,Berry,Sweet,
Easy-Bud,hybrid,4.7,Euphoric,Relaxed,Uplifted,Creative,Happy,Lemon,Skunk,Spicy/Herbal,
Good-Medicine,hybrid,4.3,Uplifted,Energetic,Happy,Focused,Talkative,Earthy,Spicy/Herbal,Citrus,
Gorilla-Biscuit,indica,4.7,Relaxed,Euphoric,Creative,Sleepy,Happy,Coffee,Pine,Cheese,
Gorilla-Cookies,hybrid,4.8,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Sweet,Earthy,Minty,
Gorilla-Grips,indica,5,Sleepy,Uplifted,Euphoric,Happy,Relaxed,Blueberry,Grape,Berry,
Gorkle,sativa,5,Relaxed,Happy,Creative,Focused,Aroused,Sweet,,,
Government-Mule,indica,4,Euphoric,Relaxed,,,,Sweet,Lemon,Flowery,
Grand-Doggy-Purps,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Tingly,Sweet,Grape,Earthy,
Easy-Peezy,hybrid,4.5,Relaxed,Sleepy,Uplifted,Creative,Euphoric,Lemon,Spicy/Herbal,Earthy,
Grand-Hindu,indica,4.6,Relaxed,Happy,Euphoric,Focused,Uplifted,Grape,Berry,Sweet,
Ebola-7,hybrid,4.5,Talkative,Creative,Relaxed,Uplifted,Energetic,Sweet,Spicy/Herbal,Pine,
Grand-Hustle,hybrid,4.1,Uplifted,Relaxed,Euphoric,Focused,Giggly,Honey,Earthy,Citrus,
Ecto-Cooler,hybrid,4.4,Happy,Euphoric,Uplifted,Creative,Focused,Citrus,Earthy,Chemical,
Granddaddy-Purple,indica,4.4,Relaxed,Sleepy,Happy,Euphoric,Hungry,Grape,Berry,Sweet,
Ed-Rosenthal-Super-Bud,hybrid,4.3,Uplifted,Relaxed,Focused,Creative,Euphoric,Earthy,Pine,Citrus,
Grandmas-Batch,hybrid,4.8,Euphoric,Happy,Tingly,Uplifted,Creative,Butter,Lemon,Flowery,
Edelweiss,indica,4.1,Happy,Relaxed,Hungry,Sleepy,Creative,Sweet,Lime,Earthy,
Grandmas-Sugar-Cookies,indica,5,Relaxed,Happy,Energetic,Focused,Creative,Pungent,Sweet,Cheese,
